transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
9785,72,1,2017-01-05,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37873.0
13424,2,1,2017-02-21,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,38573.0
14486,23,1,2017-03-27,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,33455.0
18970,11,1,2017-03-29,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,35378.0
3765,38,1,2017-04-06,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,39526.0
5157,47,1,2017-05-11,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,37823.0
13644,25,1,2017-05-19,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33552.0
15663,32,1,2017-06-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,40618.0
16423,9,1,2017-12-09,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,37838.0
14931,31,1,2017-12-14,1.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337.0
94,86,1,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0
2261,1,2,2017-05-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40784.0
6743,85,2,2017-06-11,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,38206.0
16411,26,2,2017-08-24,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,37337.0
10302,33,3,2017-02-23,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,41009.0
15188,82,3,2017-03-24,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,37499.0
12954,77,3,2017-04-05,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,36833.0
11784,55,3,2017-04-21,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,41701.0
16725,90,3,2017-06-26,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,40303.0
13285,47,3,2017-09-04,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,40303.0
11005,94,3,2017-09-16,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41009.0
19498,5,3,2017-09-19,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,36145.0
12441,95,4,2017-04-03,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874.0
14648,62,4,2017-06-18,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0
2291,23,5,2017-03-03,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244.0
19993,13,5,2017-04-28,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,39880.0
2534,84,5,2017-05-03,0.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,37626.0
13058,96,5,2017-05-26,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,33364.0
2250,34,5,2017-08-16,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,39526.0
7692,39,5,2017-12-14,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,39526.0
7096,77,6,2017-01-28,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,41848.0
8204,12,6,2017-02-06,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0
902,0,6,2017-05-21,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,33364.0
4013,0,6,2017-09-16,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,36361.0
5749,54,6,2017-10-27,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,40410.0
18369,72,7,2017-02-18,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37499.0
18549,22,7,2017-02-24,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,42404.0
3954,5,7,2017-04-21,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,38258.0
10792,89,8,2017-01-04,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,42560.0
19844,3,8,2017-01-28,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37823.0
8415,76,8,2017-04-11,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38482.0
15024,1,8,2017-04-21,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,35667.0
7636,34,8,2017-07-13,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,41064.0
17199,45,8,2017-08-11,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,42172.0
3688,15,8,2017-09-22,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,41345.0
13266,4,8,2017-10-04,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698.0
9039,4,8,2017-10-21,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698.0
5321,3,8,2017-12-08,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37823.0
8591,69,9,2017-02-04,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,41922.0
2979,85,9,2017-03-06,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,36367.0
2501,59,9,2017-05-10,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,42172.0
9405,6,9,2017-08-20,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,41701.0
10662,38,9,2017-09-30,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,40336.0
4233,36,9,2017-10-13,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,40336.0
5956,21,10,2017-06-20,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,34115.0
10250,44,10,2017-07-13,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,39427.0
14899,69,10,2017-08-09,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,38859.0
4565,5,10,2017-08-26,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,38258.0
18946,53,10,2017-11-17,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172.0
16095,0,10,2017-11-27,0.0,Approved,OHM Cycles,Standard,medium,medium,2064.08,,38199.77654900773
6004,28,11,2017-04-02,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455.0
16846,85,11,2017-06-02,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,42218.0
14370,10,11,2017-07-09,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701.0
10444,30,11,2017-08-02,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,33552.0
9240,10,11,2017-10-30,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701.0
18879,4,11,2017-11-14,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0
6741,72,12,2017-02-12,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0
12242,91,12,2017-07-23,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367.0
5985,39,12,2017-08-21,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0
13818,44,12,2017-08-21,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0
6705,72,12,2017-09-04,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0
19219,28,12,2017-09-16,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455.0
14250,34,12,2017-10-24,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,37698.0
17763,92,13,2017-01-06,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,36146.0
8905,66,13,2017-02-16,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,35378.0
15101,49,13,2017-03-01,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,36146.0
19988,0,13,2017-04-05,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,42105.0
11839,9,13,2017-08-02,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,34527.0
13486,17,13,2017-11-17,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,37539.0
17639,0,13,2017-12-03,1.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,41922.0
